English,Italian
COLUMN EQUIPPED,GRUPPO COLONNA
THERMOREGULATOR ID961,TERMOREGOLATORE ID961
HINGE D8,CERNIERA D8
BURNER STARKBRENNE,BRUCIATORE STARKBRENNE
BACK BAFFLE PLATE,PIASTRA
BODY CPL T10E,CORPO CPL T10E
BLACK LID,COPERCHIO FROSTY 2017 NERO
WATER SHIELD,SCUDO D'ACQUA
"PLANET,MIXER-BAKERY-ELECTR-40L 380-440/3","MESCOL,PLAN,-PASTICC,-ELETTR 40L-400/3"
CLOSING PLATE,PIASTRA DI CHIUSURA
TRANSFORMER 440V,TRASFORMATORE 440V
"EL,SOLID TOP,ST,OV,PASS,2S,1000X900X800H","TUTTAPIASTRA EL,+FORNO ST,PASS,,2LATI"
CONTACT FEMALE,CONTATTO FEMMINA
BLOCK LUX 300-350-370,LARDONE SPESSIMETRO LUX 300-350-370
EXTERNAL DOOR SUPPORT,SUPPORTO PORTA ESTERNA
I/O CARD,SCHEDA
SUPPORT FEET,PIEDE
ELECTRIC SOCKET BOX,PRESA ELETTRICA CON SCATOLA
DESICCANT JOINT NUT,NIPPLO
EVAPORATOR VENTILATOR SGB42,VENTILATORE PER EVAPORATORE SGB42
STEAM VALVE BOTTOM,VALVOLA VAPORE
FEMALE PLUG,"TAPPO FEMMINA 3/4 OT,NICHELATO"
FRONTAL ADHESIVE,ADESIVO FRONTALE
WHEEL CONTROL,VOLANTINO
LUG ASSY XBM20/30,GRUPPO LUG XBM20/30
NLY90LA COMPRESSOR,"COMPRESSORE NLY90LA_A CSIR V,220-240/50 1/3CV"
KNOB SPRING,MOLLETTA PER MANOPOLA
"NUT M20X1,5","DADO M20X1,5"
FELT GASKET,GUARNIZIONE IN FELTRO
IRONING STRIP,NASTRO DI STIRATURA
"LOCKING WASHER DIA,10MM","RONDELLA DI CHIUSURA DIA,10MM"
TAP SPRING,"MOLLA COMP,F1,7INOX E20,5 LL75"
COIL ROLLER L=460MM,RULLO BOBINA L=460MM
"WORKTOP CUPB+UPST+SHELF+SLIDING D,2000MM","TAV ARM C/ALZ,+RIP,+PORT SCOR 2000MM"
RING C14X18X14,ANELLO C14X18X14
LID 23LT,COPERCHIO 23LT
DOOR SPRING LATCH,SCROCCO PORTA
BRACKET REAR SEALING,SQUADRETTA
PLUG BLU,TAPPO BLU VAPORE
"CUPBOARD BASE,H2,GN,1DR,1S,400X800X450H","BASE ARMADIATA400MM-1P,GN,1LATO(H2)-H450"
"ALUM,LINEAR SHELV,-POLY,TIERS-373X1606MM","SC,LINEARI ALLUM,RIP,POLYETH-373X1606MM"
INTERIOR WALL,PARETE INTERNA
WALL,PARETE
MOTOR 100W 220V,MOTORE 100W 220V
"REPL,= 0700246160",GUARNIZIONE
JUMPER_CAPACITOR_CE,CONDENSATORE ELETTRICO
"O-RINGS 3212-2,62X53,65",ANELLO OR
CARTRIDGE NUT,DADO CARTUCCIA
JUNCTION CABLE,CAVO DI GIUNZIONE
"NOZZLE DIA,5,60","UGELLO DIA,5,60"
CONNECTOR HOLDER,SUPPORTO CONNETTORE
CONTROL BOARD WPB4,CRUSCOTTO
"EL,PASTA COOK,2X5L,1-S,BSPL,400X800X800H","CUOCIPASTA EL,2VASCHE 5L,1LATO-H 800+ALZ"
"NOZZLE DIA,430","UGELLO DIA,430"
"RELAY,30A SPST,24VDC COIL","RELÈ,30A SPST,BOBINA 24VDC"
"SOLENOID,24VDC TERMINATED LOCK",SOLENOIDE BLOCCO TERMINATO 24VDC
HEXAGON NUTS M5,DADO
AXE,PERNO MOLLA
IPROM GEAR MOTOR,MOTORIDUTTORE H40 230/50 COMPL
CONDENSER CONDENSER WATERPUMP,CONDENSATORE CONDENSER WATERPUMP
GRILL GN 1/1,GRIGLIA GN 1/1
SILICONE TUBE,TUBO IN SILICONE
R-1E SIDE PANEL,PANNELLO LATERALE
GASKET 653X1698MM,GUARNIZIONE 653X1698MM
"MICROWAVE OVEN,20LT,1700W","FORNO MICROONDE,20LT,1700W"
WOODEN SHELF,RIPIANO IN LEGNO
FAN CABLE,CAVO
"HDPE DN50*3,0-315MM",CONDUTTURA
END COVER,ABSCHLUSSKAPPEN
"ALUM,CORNER SHELV,-POLY,TIERS-475X2907MM","SC,AD ANG ALLUM,RIP,POLYETH-475X2907MM"
SMOOTH BLADE ROTOR,ROTORE CON LAME LISCE
"REPL,= 0780026211",UGELLO GAS
INNER LINER,CELLA
MOTOR BRACKET,SUPPORTO MOTORE
DOOR SENSOR,SENSORE PORTA
"PLANET,MIXER-BAKERY-ELECTR-40L 220-240/1","MESCOL,PLAN,-PASTICC,-ELETTR 40L-230/1"
ELBOW 10-6MM,GOMITO 10-6MM
CAM EQ PSF50,CAMMA EQ PSF50
GASKET SET,KIT GUARNIZIONI
"REPL,= 0700251314",ASTA MANIGLIA L=620 MM
"NOZZLE LONG D,1,35X19","UGELLO LONG D,1,35X19"
CAPACITOR 8MF,"CONDENSATORE EL, 8MF"
SPARK PLUG CABLE,CAVO PER ELETTRODO
BRACKET SHELF BOARD,PIEDE
TABLET POLYETHYLENE 310X230X25H,TAVOLETTA IN POLIETILENE 310X230X25H
EVAPORATOR60GR NG90/44,EVAPORATORE
"REPL,= 077019029046","SPINDELMUTTER,KOMPL MONTIERT"
GLIDERINGFLAP,GUARNIZIONE
COVER KNOB,POMELLO COPERCHIO CIOCC
"GAS TOP,2 BURNERS,ECO,1SIDE,500X900X250H","CUCINA A GAS 2 FUOCHI,ECOFLAM,1LATO,H250"
BRASS SUPPORT,SUPPORTO IN OTTONE
"PEELER DISC DIA,290MM","DISCO PELAPATATE DIA,290MM"
DOOR BUSHING,BOCCOLA PER PORTA
BACK SPACER,DISTANZIALE RETRO I-PRO CALIPPO
USE 4100594,USARE 4100594
VALVE PISTON,PISTONCINO VALVOLA
BEARING FOR SHAFT,CUSCINETTO PER ALBERO PSX25/33 KIT ANTE 2010
BREW BASKET,CESTO DI BIRRA
BUTTOM PLATE,PIASTRA DI FONDO
SIDE RIGHT,"FIANCO DX SP1 PREV,BIANCO"
COMPRESSOR NT2210U,COMPRESSORE NT2210U
USE 2072104,UTILIZZARE 2072104
TUBE SLEEVE,MANICOTTO INNESTO BRACCI
"REPL,= 0700230558","UGELLO 2,6 BOHRNG"
MOUTH MINCER,BOCCA TRITACARNE IN GHISA
THERMOREGULATOR IR33,TERMOREGOLATORE IR33 VEDI NOTA TECNICA
FLOOR 1200X1600MM,"PAVIMENTO PED,PL 2013 S10 1200X1600 MM"
"EL,FRYTOP,SMOOTH PL,1S,BSPL,800X800X250H",FRY TOP EL MODULO 1 LATO C/ALZATINA
BUTTON,TASTO
TRIM,DECORAZIONE
"EL,FRYTOP,RIBBED PL,1-SIDE,800X900X800H","FRYTOP EL PIASTRA RIG,,1 L,800MMXH800"
CARRIER SHAFT,ALBERO TRASCINAMENTO
PERISTALTIC PUMP,POMPA PERISTALTICA
VALVE 2HB,ELETTROVALVOLA
ROSETTE 2,BORCHIA 2
RIF FILTER,FILTRO RFI
DRAIN PLUG,TAPPO SCARICO
SCREW M10X40,VITE M10X40
"INFRARED TOP,4 ZONES,1S,BS,1000X900X250H","PIANO INFRAROSSO,4 ZONE,1LATO,ALZAT,H250"
REAR WALL SPACER,DISTANZIALE
USE 4010225,USARE 4010225
PANEL PLATE,PIASTRA PANNELLO
"SPACER TBM150,4PCS","DISTANZIALE TBM150,4PCS"
THERMOREGULATOR ID975LX,TERMOREGOLATORE ID975LX
MANUAL_OPERATOR_SIMPLICITY_SPLASH GUARD,ISTRUZIONI DI MONTAGGIO
LABEL GB5M,ETICHETTA
SUPPORT RICHT,SUPPORTO DX TENDICATENA
FILTER CKM,FILTRO UNICO CKM
CONTACTOR LC1N40F7N,CONTATTORE
KIT CIRCUIT BREAKER,KIT RIPARAZIONE
HEAT RADIATOR,RADIATORE GRIGLIA GAS
M42 MICROMETER CARTER,SUPPORTO
SPROCKET,PULEGGIA PER CATENA
SP PISTON,CORPO RUBINETTO SP/GT
XI FRONT STICKER,ETICHETTA
PIPE ASSEMBLY,TUBAZIONE
SWITCH_ON/OFF_20A,ACCENDERE/SPEGNERE_20A
USE 3031321,USARE 3031321
UPPER INTERFACE,INTERFACCIA SUPERIORE
REINFORCEMENT FOR DUCT,LAMIERA DI RINFORZO FOR DUCT
EJECTOR DISK,DISCO ESPULSORE
WIRE HARNESS_CHASSIS_GR835/875/890-CE,CABLAGGIO
"CAP M14X1,5",CALOTTA
PIVOT FULCRUM,PERNO
DECAL_FRONT_DUAL BEAN_GNB_EU_LX,ETICHETTA
"KNOB DIA,6",MANOPOLA ZANUSSI EVO Ø PERNO 6MM
DIGITAL SWITCHBOARD,PULSANTIERA DIGITALE
EXTENSION CABLE,CAVETTO PROLUNGA CONTATTI MICRO
CROSSPIECE FIX 745,TRAVERSA FIX 745
SAFETY VALVE PROTECTION,PROTEZIONE VALVOLA DI SICUREZZA
16A SWITCH,INTERRUTTORE
SPRING SHAPED,MOLLA SHAPED
TRAY DISPENSER H=900MM,ELEMENTO PORTAVASSOI H=900MM
KIT COIL,BOBINA
CORD,CORDA
WASH ARM,BRACCIO LAVAGGIO
DOUBLE SOLNOID VALVE,ELETTROVALVOLA DOPPIA
BASKET 350X350,CESTO 350X350
"ALUM,SHELV,,POLY,TIERS-COLDROOM 203X123","SC IN ALLUM RIP,POLYETH,CELLE 203X123"
BOX UPPER FILTER,SCATOLA SUPERIORE FILTRO RAFFREDDAMENTO
"EL,SOLID TOP,ST,OV,1S,1000X900X700H","TUTTAPIASTRA ELETT,+FORNO STAT,,1LATO"
M4/M5 HOPPER LID,COPERCHIO
PENDULUM KIT,SUONERIA
OR GASKET,GUARNIZIONE OR
SHUT-OFF VALVE_24VAC_1/4,ELETTROVALVOLA
HANDLEBAR,ASTA MANIGLIA
MOVEMENT ASSEMBLY,BRACCIO
"REPL,= 077001665101",ISOLANTE
DISPENSER VALVE BODY,CORPO VALVOLA
AXIAL FAN,VENTILATORE
USB CAP,CONNETTORE ACCESSORIO USB
OUTER FILTER WELDING,FILTRO
REINFORCEMENT RING,GHIERA RINFORZO
PERMEATE BLOCK,BLOCCHETTO PERMEATO
OVEN CAVITY DIVIDER,DIVISORIO ORIZZONTALE CELLA
"GAS FRYTOP,RIBBED,1-S,BSPL,800X850X700H","FRYTOP GAS,PIAS,RIGATA,1L,ALZ,800MMXH700"
CLAMP 200-220,FASCETTA 200-220
"CLAMP D=8,8-9,3","FASCETTA D=8,8-9,3"
"REPL,= 077000440119","HANDBRAUSE 6631,10-1"
DOORMAGNET,MAGNETE
SHAFT W/CROWN,ALBERO CON CORONA
"GAS FRYTOP,RIBBED,1S,BSPL,400X900X800H","FRYTOP GAS,PIASTRA RIGATA,1LATO,ALZ,H800"
CONNECTOR,CONNETTORE
CABLE X0-X1 UL,CAVO X0-X1 UL
FLARE JOINT 9.53,GIUNTO
DOOR TANK,PORTA PER VASCA
LOCKWASHER 7/16,RONDELLA DI BLOCCAGGIO
SHAFT SPACER CADET,CADETTO DISTANZIALE ALBERO
SELECTOR 5POS,COMMUTATORE 5 POS
WASHER 17X30,RONDELLA 17X30
GREEN SPACER,"DISTANZIALE VERDE 7,50 RAFI"
"PIN DIA,8X32MM",SPINA
GASKET 617X427MM,GUARNIZIONE 617X427MM
"REPL,= 0780002872","RED,-FLANSCH F VENTILATOR"
KEYBOARD BOX,SCATOLA
SUPPORT FOR PIVOT,SUPPORTO PER PIVOT
DECOUPLING WHEEL,RUOTA
NEK2134GK COMPRESSOR,"COMPRESSORE NEK2134GK-A-CSIR V,220/50 1/2CV"
GROUND WIRE,BRACCIALE DI SICUREZZA
HYDRAULIC LOCK,SERRATURA IDRAULICA
WING SHAFT 9,ALBERO
COVER PIN,PERNO DI COPERTURA
THERMAL SWITCH,INTERRUTTORE TERMICO
"EPDM TUBE_DIA,19",TUBO
SPECIAL DRAWER GASKET,GUARNIZIONE CASSETTO INFERIORE FUORI SERIE
SPRING HOLDER,GUIDA PORTA MOLLA MP
USER-INTERFACE,SCHEDA INTERFACCIA UTENTE
"ALUM,CORNER SHELV,-POLY,TIERS-373X1932MM","SC,AD ANG ALLUM,RIP,POLYETH-373X1932MM"
INSULATION TERMINAL-FDFNYD1-250,TERMINALE DI ISOLAMENTO-FDFNYD1-250
"FULL IND+STAT,OVEN,TAP(L)1S,1200X900X700","INDUZ,AMPIA SUP,+FORNO ST+RUB,SX,1L,H700"
PINION Z=15,PIGNONE Z=15
CURTAIN 30'',TENDINA 30''
T JOINT,GIUNTO
"FIXING SCREW M12X1,5",VITE
MEMBRANE SPRING,MOLLA A MEMBRANA VALVOLA ALIA
"REPL,= 077061651703",HANDGRIFFKUGEL
20' TIMER,TIMER
VENTILATION KIT,VENTILATORE
U/H TRANSFORMER,TRASFORMATORE U/H
"VACUUM PACKER,ST/ST,BAR=2X800MM","CONFEZIONATRICE SOTTOVUOTO,INOX,2X800"
COLLECTOR TRAY,VASCHETTA RACCOGLIGRASSO
CLOSED BASE 100X800X450,BASE CHIUSA 100MM H450
DOOR SEAL,GUARNIZIONE PORTA
RELAY 1170-6,RELE' 1170-6
FLEXIBLE SHEATH,GUAINA CALZAVETRO SILICONE
LOCK BOLT,CHIAVISTELLO
INSERT PLATE,PIASTRA DI FONDO
FEED STICK,PESTELLO
"HEATING ELEMENT (1,8+1,2KW)230V",RESISTENZA
DISC FOR HANDRAIL,DISCO FOR HANDRAIL
AUXILIARY SWITCH,INTERRUTTORE AUSILIARIO
GASKET 1KIT=10PCS,GUARNIZIONE 1KIT=10PCS
SPOUT,BOCCHETTA
"EL,FRYTOP,SMOOTH PL,1S,BSPL,800X900X250","FRYTOP EL,PIAST,LISCIA,1L,ALZ,800MMXH250"
DRAIN OIL PLUG,TAPPO SCARICO OLIO POMPA
"WORK TOP,CLOSED,1-SIDE,100X900X250H","ELEMENTO NEUTRO CHIUSO,100XH250"
GASKET 660X1510MM,GUARNIZIONE 660X1510MM
GUARD PSR220,GUARDIA PSR220
FRAME SERVICE WINDOW,CORNICE
TEMPERATURE PROBE PT1000,SONDA
SCREW_M6×30,VITE
"REPL,= 0700581944",HILFSKONTAKT AR 170/340
CONDENSER 16MF,CONDENSATORE 16MF
NOZZLE D 145,UGELLO
KSOFT PISTON,ASTA RUBINETTO K-SOFT
COOKING PLATE,PIASTRA ELETTRICA
UNIVERSAL ELBOW,GOMITO UNIVERSALE
FOAM_TOP_BASE PACKING_MINI TWIN,CUSCINETTO DI GOMMA
DIVERTER,"DEVIATORE BIP,CON SOFF,NOO LUMIN,NON SERIGR"
EL CABLE INF,CAVETTO INF
STOPPER PART,PARTE TAPPO
LIDBRACKET,SUPPORTO
"COVER,DOUBLE IC BASE",PANNELLO DI COPERTURA
LIST LH,LISTELLO LH
OUTLET TOP COVER,COPERTURA
SHAFT DOUBLE POTENTIOMETER,ALBERO
RING SUPPORT,ANELLO SUPPORTO
SCREW M8X90,VITE M8X90
STOP WATER 5LT/MIN,ACQUA STOP 5LT/MIN
BASIN,BACINELLA
SWITCH_ROCKER_WHIPPER,INTERRUTTORE
"SENSORKABEL 2,5M","CABLAGGIO DEL SENSORE 2,5M"
SHAFT 11.5 K120,ALBERO 11.5 K120
DOOR UPPER BRACKET,STAFFA SUPERIORE PORTA
"REPL,= 0780005336",TUBAZIONE
SHELF 1558X538X40H,RIPIANO 1558X538X40H
HEATING ELEMENT 230V-3500W,RESISTENZA 230V-3500W
CLEANER,DETERGENTE
PADDLE MOTOR BOX,SCATOLA
INNER PANEL,CONTROPANNELLO
TOOTH SX,DENTE DI TRASCINAMENTO SX
THERMOREGULATOR,TERMOREGOLATORE
"SCREW 2,8X15MM","VITE 2,8X15MM"
LEFT LEG,GAMBA SINISTRA
RISLAN GRILL,GRIGLIA RILSAN GN 1/1
DELIVERY SPOUT,BOCCHETTA DI CONSEGNA
TIMER BOARD XBM10,SCHEDA TIMER XBM10
ELECTROVALVE TIMER,TIMER ELETTROVALVOLA SORBY2-3 V 220/50
BEARING CAP,CALOTTA
CABLE TRANSFORMER-FAN,CAVO TRANSFORMER-FAN
CLOSED BASE 200X800X450,BASE CHIUSA 200MM H450
PUMP 440V/60HZ,POMPA 440V/60HZ
HOSE LIBERO,TUBO FLESSIBILE LIBERO
CHIMNEY UPSTAND 800MM,ALZATINA PER CAMINO ELEMENTI 800 MM
SEAL PLATE WAVEGUIDE,PIASTRA
"REPL,= 0780053408",INVERSORE
COTTER PIN,COPIGLIA
HOLDER BRASS RIGHT,TITOLARE OTTONE GIUSTO
USE 2V30006,USARE 2V30006
"BAR UNDERCOUNTER+2+8°C,L/H,1950","SOTTOBANCO BAR+2+8°C,SX,1950"
LID SHAFT,ALBERO
RUBBER PANTAMAT,GOMMA PANTAMAT
TRAY,VASSOIO
CM-CAM LOCK LATCHES,CAMMA
AIR FILTER,FILTRO ARIA
"WINTER JACKET SZ,L","GIUBBINO INVERNALE SZ,L"
PROTECTIVE GRATE,GRIGLIA DI PROTEZIONE
THROTTLING,REGOL PORTATA ROSSO
IGNITOR,ACCENDITORE PIEZO
EXHAUST PORT,CANALE DI SCARICO
HOSE KIT,TUBO FLESSIBILE KIT
FIXING FOR VG102D,FISSAGGIO VENTOLA FOR VG102D
POLYAMIDE PIPE,TUBATURE DI PLASTICA
NUT M4,DADO M4
EVAPORATOR40GR NG55/36,EVAPORATORE
FAN 120X120MM,VENTILATORE
"NOZZLE D,370","UGELLO D,370"
VALVE CAP,VALVOLA
"REPL,= 0780005264",PANNELLO COMANDI
8-DISHWASHER RACK TROLLEY,CARRELLO CON GUIDE PER 8 CESTI LS
CARTON_GENERIC_GNB_SINGLE BEAN,GUARNIZIONE PIATTA
FAN VT60-180,VENTILATORE TANG SX TGO 60/1 L 180/20 230V 50HZ
REAR SQUARE,PIAZZA POSTERIORE
BRACKET PUMP MOTOR,SUPPORTO MOTORE
DISPENSING NOZZLE,"BECCUCCIO RIDUZ,USCITA PRODOTTO NINA"
SUPPORT SHOCK ABSORBER,SUPPORTO AMMORTIZZATORE
CLAMP SOFTCOOKER,ASSIEME BLOCCA PENTOLA
"REPL,= 0700247133",KEGELGRIFF 2 (ZU 240131)
COVERED RING,ANELLO COPERTO
"HOSE SLEEVE 3/4""X13MM","TUBO FLESSIBILE 3/4""X13MM"
"REPL,= 0700245595",NOCKENSCHALTER
"REPL,= 0780055315",GUARNIZIONE PORTA
BRAKE ROD,ASTA
CATCH HSPE,NASELLO HSPE
POLISTYRENE FOAM,POLISTIROLO
"EL,AQUACOOKER PLUS,1/1GN,1-SIDE,400X900X800H",ACQUACOOKER EL PLUS GN 1/1 1 LATO H800
"BELT D,8*560","CINGHIA D,8*560"
OVERLOAD PROTECTION,PROTETTORE SOVRACCARICO
CASING ASSEMBLY,INVOLUCRO
USB 2.0,PORTA USB 2.0
LID CORPUS,COPERCHIO CORPUS
"CHEST REFRIGERATOR,+2+6°C,172 LT,WALL","REFRIGERATORE A POZZO,+2+6°C,172LT,MURO"
"MOTOR 220-240V,0,25KW 2P","MOTORE VENTOLA 220-240V,0,25KW 2P"
GASKET WATER TANK,GUARNIZIONE
TIMER/POTENTIOMETER BUTTON KIT,TIMER/POTENZIOMETRO KIT BOTTONI
VALVE ASS,VALVOLA ASS
MAGNETIC IMPELLER,GIRANTE POMPA
NUT_LOCK,DADO
PLUG NYLON,TAPPO IN NYLON
DRIP TRAY COVER,COPERTURA VASCHETTA
BEARING BRASS,BRONZINA
EPROM,EPROM PER SCHEDA LS HOBART
GRIP PG1/D,IMPUGNATURA PG1/D
"REPL,= 077481750705",ANELLO UGELLO
INSULATION PROFILE,PROFILO ISOLANTE
CLOSING DISK,DISCHETTO DI CHIUSURA
"CUPBOARD BASE,GN,1 DR,1-S,H2-600X850X450","VANO ARMADIATO H2,GN,1PORTA,1L,600XH450"
BEARING 3305,CUSCINETTO 3305
MOUNTING FRAME,CORNICE
INSULATOR SIDE,ISOLANTE
SEAL WASHER,RONDELLA DI TENUTA
"WORK TOP,CLOSED,1-S,BACKSPL,900X900X250H","ELEMENTO NEUTRO CHIUSO,1LAT,ALZ,900XH250"
"ADAPTER DIA,10","ADATTATORE DIA,10"
SHOWER TUBE COMPLETE,TUBO DOCCIA CON RUBINETTO COMPLETE
"REPL,= 077000710275","BEF,-PLATTE ZU 710277"
"O-RING 2,62X9,92X15,16","ANELLO OR 2,62X9,92X15,16"
MANIFOLD ACE2,COLLETTORE ACE2
CONFIGURED ELECTRONIC EWM09311,SCHEDA ELETTRONICA CONFIGURATA EWM09311
FAN 90W-115W,VENTILATORE
"MEAT MINCER,ST/ST,300KG/H,3PH,ENCASED","TRITACARNE INOX,300 KG/H,3F,INCARCASS"
FOOT CKM,CKM STELO PIEDINO 20
SINGLE THREAD,FILO SINGOLO
CANISTER_D83 S237-H290,CONTENITORE
PIPE COOLING,CONDUTTURA
"OVERLOAD,FOR 3248 COMP,(355",CONDENSATORE DI SPUNTO
SALT,SALE PER ADDOLCITORE IN PASTIGLIE CONF 25KG
"CHICKEN GRILL,VERTICAL,4GRIDS,12PCS","GRIGLIA VERTICALE,4 GRIGLIE,12POLLI"
"EL,PASTA COOK,1X20L,1S,BSPL,400X800X800H","CUOCIPASTA EL,1VASCA20L,1LATO-H 800+ALZ"
LED LAMP,LED STRIPE
ELECTROVALVE BLOCK,VALVOLA GAS 220/240V 50HZ 1/2'
HEAD LEFT DS600,TESTATA CRUSCOTTO SINISTRA DS600
FAN VE 8/9T,VENTILATORE VE 8/9T
PCB ASSY,SCHEDA ELETTRONICA ASSY
SHAFT CRN30,ALBERO SX SOLLEVAMENTO CESTO CR
TEMPERATURE PROBE HARNESS,CABLAGGIO SONDA TEMPERATURA
WIRE JUMPER LED,CABLAGGIO
CYLINDER UET,CILINDRO
PUMP KIT,"POMPA PRELAVAGGIO 220-380V 50HZ 1,4/0,8A KIT"
GASKET BLUE,GUARNIZIONE BLUE
SWINGING BEARING,CUSCINETTO OSCILLANTE 20 47 14
"REPL,= 0780069451",NACHSP LD SE D32 WS
RUBBER HOSE 50.8,TUBO IN GOMMA 50.8
TANK ASS,"ASS,VASCA GRIGLIA HP 800 THERMA"
SUPPORT BASIN LEFT,SUPPORTO BACINELLA SX
BEARING SCREW,VITE CUSCINETTO
HOOP,CERCHIO
CURVED HOSE CONNECTOR,ATTACCO
PAN WASHING SUPPORT,SUPPORTO PER LAVAGGIO PENTOLE
LIFTER HOLDER,ECCENTRICO
UNIPOLAR STATOR,STATORE UNIPOLARE DA 1M PER E2V%U
HOSE L=1150MM,TUBO FLESSIBILE L=1150MM
"REPL,= 077019002494",BULLONE
"SYPHON 1,5",SIFONE
USER INSTRUCTION,SERIGRAFIA 2 PCS
0-90 THERMOSTAT,"TERMOSTATO TR2 REG,0-90"
"PUMP 230V 0,30HP","POMPA 230V 0,30HP"
WELDED ELBOW,GOMITO SALDATO
WASTE DRAWER SHROUD,COPERTURA
SEALING GASKET,GUARNIZIONE DI TENUTA
"REPL,= 0700232959",ALBERO
PANEL_BACK_DOUBLE,PANNELLO POSTERIORE
RESERVOIR SUB-ASSEMBLY,VASCHETTA CON GALLEGGIANTE
INSULATING BOARD 430X285X25,PANNELLO ISOLANTE 430X285X25
MEMBRANE XBM20,MEMBRANA XBM20
6X10KW-BURN(CAST)GAS RANGE+OVEN+CUPB1200,CUCINA GAS 6X10KW FUOC(GHISA)+FORNO+ARM
INSTRUCTION FOIL CONTACTOR,FOGLIO ISTRUZIONI CONTATTORE
"NOZZLE LONG D,1,00X20,5","UGELLO LONG D,1,00X20,5"
SHELL,RIVESTIMENTO
"SPIRAL MIXER,8KG,1-SPEED,400V","IMPASTATRICE SPIRALE,8KG,1 VEL,400"
SP1 CONVEYOR,CONVOGLIATORE PLASTICA SP1-GT1
CAGE NUT,DADO CESTO
"INDUCTION GENERATOR FAULTY,4X3,5KW/400V","GENERAT,DI INDUZ GUASTO 4X3,5KW/400V"
"EL,BAINM,2/1GN,TAP(B),1S,BS,800X850X250H","BAGNOMARIA EL,2/1,RUB POS,1L,AL,800XH250"
GROMMET AZ,ANELLO PREMISTOPPA
"INDUCTION TOP,4ZONE,1S,BSPL,800X800X250H",PIANO A INDUZIONE 4ZONE 1LATO C/ALZATINA
REAR PANEL,PANNELLO POSTERIORE
LAMP CAP,GEMMA TRASPARENTE
"150LT EL,BOIL,PAN-INDIR,HEAT,AUTOM",PENTOLA ELET 150LT-AUT RISC INDIR
LANTERN,"LANTERNA 0C55-1,5KW"
CLIP C-TYPE,ANELLO SEEGER
D9 CORK,"TAPPO TRASPARENTE D,9"
FOLD-DOWN TABLE CADET/S,TAVOLO RIBALTABILE CADET/S
"EL,FRYTOP,SMOOTH PL,1S,BSPL,800X900X800","FRYTOP EL,PIAST,LISCIA,1L,ALZ,800MMXH800"
BLACK HANDEL,LEVA RUBINETTO NERA SLUSH PUPPIE
"NOZZLE =1,65MM","UGELLO 1,65MM"
"NOZZLE DIA,0,40MM","UGELLO DIA,0,40MM"
NUT G1/4,DADO G1/4
TIMER KIT DGTL-240V(W/ADPTR),TIMER
SIDE CUTTER,TRONCHESINO
MECHANICAL SEAL COMPLETE,TENUTA MECCANICA COMPLETE
UPPER SPRING,MOLLA SUPERIORE
AGITATOR 200L,AGITATORE 200L
EVAP ASSY CS2,GRUPPO EVAP CS2
PLUG CONNECTION,CONNESSIONE
DRIVING WHEEL,PULEGGIA
"CLAMP D,13","FASCETTA D,13"
LIQUID SEPARATOR,SEPARATORE DI LIQUIDO
PUMP GASKET KIT,GUARNIZIONE POMPA KIT
CHIMNEY UPSTAND 1000MM,ALZATINA PER CAMINO ELEMENTI 1000 MM
LAMP FOR POULETCABINET,LAMPADA FOR POULETCABINET
OVERHEAT PROTECTOR,PROTETTORE TERMICO
THERMOCOUPLE 1400MM,TERMOCOPPIA
SUPPORT MURAL B3M,SUPPORTO MURAL B3M
CAPILLARY TUBE FLEXIBLE,TUBO CAPILLARE FLEXIBLE
SLEEVE 38X50MM L=98MM,MANICOTTO
"FOOT H=15,5MM","PIEDE H=15,5MM"
TANK FILTER,FILTRO VASCA
STOPPER FLYWHEEL,RUBINETTO
COVERING RIGHT HSPE,COPERTURA RIGHT HSPE
GASKET KIT,GUARNIZIONE KIT
GRID SUPPORT,GUIDA PER SUPPORTO FCV20 GN1/1
"REPL,= 0700212020",KLEMMSTEIN P-5+E
CIRCLIP (52I,ANELLO DI SICUREZZA (52I
TIMER PROGRAM CARD,SCHEDA ELETTRONICA TIMER
"CONTACTOR,240-600V,24VAC COIL",CONTATTORE
SWITCH ROCKER,INTERRUTTORE
LABEL DRAIN OIL,ETICHETTA DRAIN OIL
THERMOSTAT PE-PV25-35-50,TERMOSTATO PIASTRA PE-PV25-35-50
MAGNET ASSEMBLED STIRRER,MAGNETE AGITATORE ASSEMBLATO
"INDUC,WOK+PLATE,2ZONE,1S,BS,500X850X250H","WOK INDUZ,+PIASTRA,2 ZONE,1LATO,ALZ,H250"
LEG TIP,GAMBA
PROTECTIVE HOSE,TUBO DI PROTEZIONE IN SILICONE
"RUBBER PIPED=12,7MM L=950MM",TUBAZIONE
KNOB EXTENSION,PROLUNGA MANOPOLA EUROSIT
FREQUENCY CONVERTER COVER,COPERTURA
BOWL E49-4,VASCHETTA E49-4
BEAD FLANGE,FLANGIA PERLINE
REMOTE TERMINAL,MORSETTO ELETTRICO
"EL,MULTIBRAISER,2/1GN,1S,BS,800X800X800H","BRASIERA EL,MULTIF2/1,1LATO-H800 C/ALZ"
"WORK TOP,CLOSED,1-S,BACKSPL,800X900X250H","ELEMENTO NEUTRO CHIUSO,1LAT,ALZ,800XH250"
RIGHT COVER,COPERTINA DESTRA
LEFT HOPPER,TRAMOGGIA SINISTRA
"REPL,= 0700232238","ENT-U,BELUEFTER KPL,262,6 Z 2"
